name,counts
大唐双龙传之长生诀 01,1399
仙剑云之凡 01,70944
天涯赤子心 01,720
神医喜来乐 01,1593
学生兵 05,112
新妓生传 01,2479
红七军 01,75
赛小花的远大前程 01,1436
少林问道 24,212
屋塔房王世子 01,6761
寒山潜龙 01,1856
温柔的背叛 01,1306
爱情回来了 01,5486
魔界之龙珠 01,2079
黑狐之风影 01,3430
龙八夷 01,15186
上海滩 01,4915
倚天屠龙记 01,11775
长征大会师 01,571
咱们相爱吧 01,1466
搭错车 01,4488
天仙配 01,1284
渴望 01,1009
特殊争夺 01,1153
一起又看流星雨 01,7440
芙蓉诀 01,1989
插翅难逃 01,3111
狐影 01,605
马大帅 第三部 01,1383
隋唐英雄之薛刚反唐 01,378
灵镜传奇 01,4184
上海王 01,282
茶馆 01,1056
穷孩子富孩子 01,606
天地姻缘七仙女 01,2414
冲上云霄 01,2428
千金女贼 01,758
天下第一 01,9108
任长霞 01,1035
寂寞空庭春欲晚 01,12855
情深深雨濛濛 01,7664
炊事班的故事 第二部 01,2395
苍狼 01,814
龙游天下 01,3175
大秦帝国之纵横 01,11589
择天记 01,10258
神探狄仁杰第一部 01,11610
我要当八路 01,244
美人心计 01,3166
师奶Madam 01,2084
你的传奇之危机四伏 01,1083
我的丑娘 01,1053
特种兵之火凤凰 01,479
狼牙英雄 01,122
三个奶爸 01,1869
俺爹是卧底 01,1736
狙击部队 01,604
射雕英雄传之东邪西毒 01,9736
五星红旗迎风飘扬2 01,24
幽灵 01,4614
女管家 01,3094
楚汉传奇 01,14840
包青天之碧血丹心 01,224
仙剑奇侠传三 01,33388
洗冤录 01,9910
重案六组 第一部 01,1956
少年包青天 第三部 01,5553
情定三生 01,716
马向阳下乡记 01,986
铁血红安 01,138
克拉恋人 01,2001
八方传奇 01,1863
走向共和 01,989
猎刃 01,4004
我可能不会爱你 01,3329
新乌龙山剿匪记 01,167
我的爱情撞上了战争 01,689
敢死队 01,67
新济公活佛 01,761
八仙过海 01,495
女医明妃传 01,15784
马永贞 01,520
泡沫之夏 01,2836
爱情睡醒了 01,2180
红楼梦 01,20500
冷风暴 01,206
爸爸父亲爹 01,257
康熙王朝 01,7505
